Response ID,Time Started,Date Submitted,Referer,IP Address Hash,IP Country,IP City,IP State/Region,Residency,Black/African American:Race/Ethnicity (check any that apply),Asian:Race/Ethnicity (check any that apply),"LatinX (Hispanic, Latino, or Spanish):Race/Ethnicity (check any that apply)",Middle Eastern/North African:Race/Ethnicity (check any that apply),Native American:Race/Ethnicity (check any that apply),Pacific Islander:Race/Ethnicity (check any that apply),White:Race/Ethnicity (check any that apply),"I consider myself a member of an historically excluded group (e.g. Person of Color, LGBTQ)",Age,Gender,Mental Health Issues:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Homelessness:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Substance Abuse:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Protests and Demonstrations:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Traffic:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Intimate Partner Violence:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Other - Write In:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Other - Write In:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,"Do you believe police officers treat every community member with equal fairness and respect without considering their race, gender, age, religion or sexual orientation?","Have you or someone you know experienced  physical mistreatment, harassment, or intimidation by a police officer?","If yes, please elaborate","Requiring de-escalation and strict guidelines on using force, especially deadly force:Please indicate which of the following changes to policing you support:",Requiring mandatory body camera use and the automatic release of bodycam footage with 30 days of any major incident:Please indicate which of the following changes to policing you support:,"Publicly releasing all data on police interactions that require filing a report, including the race of the community members?:Please indicate which of the following changes to policing you support:","Ending profiling, ""Stop and Frisk"", and policing of minor issues:Please indicate which of the following changes to policing you support:",Requiring strong civilian oversight boards that can set policy and investigate complaints:Please indicate which of the following changes to policing you support:,"Prioritizing resources towards rigorous training to reinforce policies, including testing for bias in shoot/don't shoot decision making:Please indicate which of the following changes to policing you support:","Banning No Knock, and Knock and Enter warrants:Please indicate which of the following changes to policing you support:","Restricting the purchase, use, and deployment of military equipment:Please indicate which of the following changes to policing you support:",Removing any barriers in police contracts to effective misconduct investigations and civilian oversight:Please indicate which of the following changes to policing you support:,"Has anyone stolen something from you, your car, or your residence in the past 12 months, or have you been the victim of a crime?",How many times have you been involved in a traffic stop with a member of the Saratoga Springs Police Department?,How many times have you had contact with a member of the Saratoga Springs Police Department for something other than a traffic stop?,The SSPD listens to local residents and understands the issues that affect your neighborhood:Do you agree with the following statements?,The SSPD works together with community members to solve local problems.:Do you agree with the following statements?,I trust the SSPD to make decisions that are good for everyone in our city:Do you agree with the following statements?,The SSPD is effective at fighting crime:Do you agree with the following statements?,I trust the SSPD to investigate and discipline its own officers:Do you agree with the following statements?,"If I have a complaint against SSPD, I am confident it will be acted on objectively and respectfully:Do you agree with the following statements?",I can count on the SSPD to be there when I need them:Do you agree with the following statements?,"SSPD Officers uniformly treat people with fairness and respect without considering their race, gender, age, religion or sexual orientation:Do you agree with the following statements?",I approve of having police patrol my local neighborhood daily:Do you agree with the following statements?,I would like more officers moved from cars to out on foot patrol walking a beat:Do you agree with the following statements?,"Overall, how satisfied are you with the Saratoga Springs Police Department?",How would you improve the SSPD?,Entered Email
145,"Jan 26, 2021 11:22:57 AM","Jan 26, 2021 11:33:19 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,bd98krPHfG1+1/8vfl3C5g==,United States,Middletown,NY,2,1,,,,,,,1,4,2,1,1,1,,,1,,,0,1,"Well. They lied and said I ran a stop sign. Then pulled me over. Asking for ids. I had a person in the back. He had a warrant. 7 cars later. I'm searched, my wife, my car, all without my consent. Took a sobriety test. Which I passed. Detained for 90 min. Then let go. [redacted] 2. I was pulled over for no light on my liscense plate. 3 cop cars later, I'm behind my [vehicle redacted] and the cop adjacent to me has his hand on the gun. While my wife and [age redacted] year old daughter watched... I have about 10 more. Just tired of typing.",1,1,1,1,1,1,1,1,1,0,1,0,3,3,3,3,2,2,3,2,3,3,3,Hard question ,Yes
146,"Jan 26, 2021 11:28:27 AM","Jan 26, 2021 11:28:27 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,fWsoacjibk2P8TExNduCMA==,United States,Rome,NY,1,,,,,,,7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
147,"Jan 26, 2021 11:30:10 AM","Jan 26, 2021 11:33:00 AM",http://m.facebook.com/,hvVKisCM9nGuJAoBVUyW2g==,United States,Ocean Isle Beach,NC,1,,,,,,,7,1,5,2,1,1,1,,,1,,,0,0,,1,1,1,1,2,1,0,2,1,0,0,0,4,4,3,4,3,4,4,3,3,4,4,,Yes
148,"Jan 26, 2021 11:31:47 AM","Jan 26, 2021 11:35:10 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,2dSVItcitvQYOCmSi2ymkA==,United States,Ballston Spa,NY,1,,,,,,,7,0,4,1,1,1,,,,,,,0,0,,1,1,1,1,1,1,1,1,1,0,0,1,2,4,2,4,2,2,4,2,4,4,4,I am pleased that the reform task force is in place. ,No
149,"Jan 26, 2021 11:33:50 AM","Jan 26, 2021 11:40:06 AM",https://l.facebook.com/,rSx0frOmUWk2KPM9XPIMhA==,United States,Hudson Falls,NY,3,,,,,,,7,1,5,2,1,1,1,,,,,,0,1,"When I was mugged one time the police officer, once he found out I was gay, went from being helpful to practically dismissing the whole incident.  ",1,1,2,1,1,1,2,0,1,0,1,0,3,3,3,3,3,3,3,3,5,5,4,,No
150,"Jan 26, 2021 11:37:42 AM","Jan 26, 2021 11:47:58 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,Xphpbl2BjXfBECM4MyWANQ==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,1,,,,,,,1,I think police deal with all of these things and it's important that they continue.   I think police could pass off a lot of the end results of some of these.  ,1,0,,1,1,2,0,1,2,0,0,1,0,0,2,5,5,5,5,2,3,5,4,1,3,5,"I definitely think a police board, similarly to the board of education to look at complaints and other issues is beneficial to everyone.    I think most police officers are in line but there is always room for improvement on any force.",No
151,"Jan 26, 2021 11:38:55 AM","Jan 26, 2021 11:44:52 AM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,2,,,,,,,1,Depends on the circumstances,2,0,,1,0,1,2,0,1,0,0,2,0,0,4,5,5,5,5,5,5,5,5,5,5,5,Increase continued training with a focus on community engagement ,No
152,"Jan 26, 2021 11:37:30 AM","Jan 26, 2021 11:43:16 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,RO48VyCDxihAMTt6/2q2oQ==,United States,Saratoga Springs,NY,1,,,,,,,7,1,4,1,1,1,1,1,1,,,,0,0,,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,3,1,1,3,1,3,3,2,,No
153,"Jan 26, 2021 11:42:42 AM","Jan 26, 2021 11:49:26 AM",https://t.co/GcVavWe54R?amp=1,8uQM7HvKidJ6y0Rhc7b5LA==,United States,Brooklyn,NY,1,,,,,,,7,0,3,1,1,1,1,1,1,1,,,0,1,,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,"Create more transparency and accountability. The police need less money/power, more should be allocated to the community. ",No
154,"Jan 26, 2021 11:53:06 AM","Jan 26, 2021 11:57:07 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,GwxajQ4Oyj1cjkKdvhK5gQ==,United States,Saratoga Springs,NY,1,,,,,,,7,0,3,2,1,1,1,,1,1,,,0,1,,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,4,1,1,4,2,3,4,3,,No
155,"Jan 26, 2021 11:54:20 AM","Jan 26, 2021 12:24:20 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,6GSCaNdV7TjJuRyAIx+8JQ==,United States,Saratoga Springs,NY,1,1,,,,,,7,1,4,1,1,1,1,1,1,1,,,0,1,"Have experienced, witnessed or know of-  clearly racial targeted arrests Numerous instances of DWB excessive force excessive response to incidents that involve POC dismissal of complaints when made by a POC intimidation unlawfully surveillance ",1,1,1,1,1,1,1,1,1,0,3,3,1,2,1,2,1,1,2,1,3,3,1,"1. Address current and past incidents of corruption and misconduct with appropriate punishment 2. Require a high level of education and/or community service experience in force members 3. Get rid of all militarized weaponry, disarm beat and patrol officers  4. Conduct extreme psychological and intelligence evaluations before being considered for hiring",No
156,"Jan 26, 2021 11:53:23 AM","Jan 26, 2021 1:38:03 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,dqB/tXIS+LgOR5R/rZhNNQ==,United States,Gansevoort,NY,1,,,,,,,7,0,3,1,1,1,1,1,,1,,,0,1,"When I was [age redacted] I was part of a domestic violence relationship. I filed 5 police reports. They never separated me from my abuser to interview me. After I left him he continuously showed up to my house. [personally identifiable information redacted] They refused to give me an emergency court hearing for a restraining order-even after I woke up to him sitting in my living room- because they claimed I had never pressed formal charges so it was a ""waste of time because I'd be back with him anyway.""  This was in [location redacted, not Saratoga Springs], but I feel it is a systemic problem.",1,1,1,1,1,1,1,1,1,0,0,0,3,3,3,2,1,2,3,3,2,2,3,"SSPD did have an incident of killing an unarmed man, and sprayed pepper bullets at protestors. Not cool. ",Yes
157,"Jan 26, 2021 12:06:11 PM","Jan 26, 2021 12:08:05 PM",http://m.facebook.com,M1yMZPEbGjHBgk/RiL6Z0A==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,1,1,,1,,,,,,,,,,,,,,,,,,0,0,1,3,3,2,2,2,3,3,2,3,,3,,No
